block,sender,msg_type,pool_id,denom_1,original_amount_1,adjusted_amount_1,denom_2,original_amount_2,adjusted_amount_2,relative_extra_percent
4708913,osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,/osmosis.gamm.v1beta1.MsgExitPool,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,819603579,62607,uosmo,717892014,54838,7.638667400636564e-05
4708916,osmo1ncx0zpzvmwe6f4055943xqjhqnrwh6tp2hg6a3,/osmosis.gamm.v1beta1.MsgExitPool,629,ibc/8318FD63C42203D16DDCAF49FE10E8590669B3219A3E87676AC9DA50722687FB,17566854301026301595,1458659030742437,uosmo,138588,12,8.303473153171295e-05
4708919,osmo1slhv6gxg5h48gghf2jwjm64w8t7edynppqp2vx,/osmosis.gamm.v1beta1.MsgExitPool,712,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,2329752,2707,uosmo,622613683,723181,0.001161524261945091
4708924,osmo15wk3htq4p024tfc6nagvgusra0tlt3hhv2sw9d,/osmosis.gamm.v1beta1.MsgExitPool,722,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,105845696767035912667,185128183749433408,uosmo,193359810,338194,0.0017490383587052813
4708933,osmo1060t4vlql9ngh4jj4h67nsyu4lmljyd8pesy5q,/osmosis.gamm.v1beta1.MsgExitPool,669,ibc/6BDB4C8CCD45033F9604E4B93ED395008A753E01EECD6992E7D1EA23D9D3B788,15340429,1189,uosmo,1012247,79,7.745152361024144e-05
4708942,osmo1eh0vums0v89mpulj6uykt8k7g70nvwxcycq47m,/osmosis.gamm.v1beta1.MsgExitPool,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,42886463,3360,uosmo,37497073,2938,7.833376218929049e-05
4708955,osmo139cx4kcvepcc3krw5wvrde5pheax4jzstu3tal,/osmosis.gamm.v1beta1.MsgExitPool,601,ibc/EA3E1640F9B1532AB129A571203A0B9F789A7F14BB66E350DCBFA18E1A1931F0,7342928,936,uosmo,2123238,271,0.0001274624893700504
4708963,osmo139cx4kcvepcc3krw5wvrde5pheax4jzstu3tal,/osmosis.gamm.v1beta1.MsgExitPool,604,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,293483227,9390,uosmo,8260900,265,3.1994807336671724e-05
4708986,osmo178s275svy3n97c82vdglhv6m8j56yc30msgxmr,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,986393,35,uosmo,7755750,273,3.5074165715314324e-05
4708989,osmo1npquw5czg704mu9d7sgdv07rrmsmgzns8rrrlg,/osmosis.gamm.v1beta1.MsgExitPool,631,ibc/297C64CC42B5A8D8F82FE2EBE208A6FE8F94B86037FA28C4529A23701C228F7A,1111952,908,uosmo,14910143,12163,0.0008156955199130988
4709024,osmo1a80h8wx74yczws53ap5zm5f8t7udf8u6plff0c,/osmosis.gamm.v1beta1.MsgExitPool,625,ibc/E97634A40119F1898989C2A23224ED83FDD0A57EA46B3A094E287288D1672B44,2467115554,28202,uosmo,26533172,304,1.1431037610805078e-05
4709028,osmo1jzkah2lzef3ywvr9tdfe6d8empdl7nhz2pce3k,/osmosis.gamm.v1beta1.MsgExitPool,497,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,82717497,1692,uosmo,262368235,5367,2.04544565055324e-05
4709035,osmo1crykcdaxm3u4flnjxq0kmyye7uqy9tcesac6u2,/osmosis.gamm.v1beta1.MsgExitPool,498,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,84954,1,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,209288,1,8.675335603733168e-07
4709037,osmo1f8xye7qclcwtd9wwp2l2gey79qckacxnvm37mp,/osmosis.gamm.v1beta1.MsgExitPool,722,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,105040239507393798863,184191718779016160,uosmo,192146149,336935,0.001753534832392027
4709053,osmo1k278k46nsvnc9ahx0n94qwt9qul7vea6wg6khg,/osmosis.gamm.v1beta1.MsgExitPool,690,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,3145284,85203,uosmo,268464,7273,0.02708883951271449
4709091,osmo1dnd9x05al22mns9s0vwqumjfnvrlj7fhpcvs9m,/osmosis.gamm.v1beta1.MsgExitPool,690,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,45575946,1235756,uosmo,3889500,105461,0.02711421252678984
4709091,osmo1slvy9lupfute6sz05jp76xly6xavs04hcxylu9,/osmosis.gamm.v1beta1.MsgExitPool,611,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,4288972,83,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,1193888937,22892,1.9173482343921227e-05
4709149,osmo123ymh4h4zjjgujsc4fhmhks32pvmglcj9mkyra,/osmosis.gamm.v1beta1.MsgExitPool,629,ibc/8318FD63C42203D16DDCAF49FE10E8590669B3219A3E87676AC9DA50722687FB,1343386932421143022851,113732308559702784,uosmo,10650901,902,8.466087157385602e-05
4709150,osmo1as7ufzy5y8mnuygzx74nk4u3xc3jjgdf5vsfh9,/osmosis.gamm.v1beta1.MsgExitPool,629,ibc/8318FD63C42203D16DDCAF49FE10E8590669B3219A3E87676AC9DA50722687FB,37652749280271809065,3187714571219692,uosmo,298525,26,8.466087157385602e-05
4709157,osmo128mhm8efuaa5yhadtt8476xds7azrr28ys9659,/osmosis.gamm.v1beta1.MsgExitPool,690,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,45444033,1232339,uosmo,3877735,105156,0.027117729182369554
4709183,osmo1sqm0rm2w52lg07g0v9kynt6zqqghlfvuddene9,/osmosis.gamm.v1beta1.MsgExitPool,604,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,605270717,36690,uosmo,17041364,1033,6.061707482788348e-05
4709215,osmo1sqm0rm2w52lg07g0v9kynt6zqqghlfvuddene9,/osmosis.gamm.v1beta1.MsgExitPool,604,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,605245535,36922,uosmo,17042062,1040,6.1001967947206736e-05
4709233,osmo1kwwm2zln6z8lv30szcya5f9wnrdu6lamuhuq4c,/osmosis.gamm.v1beta1.MsgExitPool,497,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,24861556,788,uosmo,78861493,2499,3.167833292396472e-05
4709242,osmo13n7wdmcw863qzrxrffupfk26ht3au7yw7r7en2,/osmosis.gamm.v1beta1.MsgExitPool,690,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,5525869,149862,uosmo,471443,12786,0.027120035948531344
4709242,osmo1kwwm2zln6z8lv30szcya5f9wnrdu6lamuhuq4c,/osmosis.gamm.v1beta1.MsgExitPool,15,ibc/A0CC0CF735BFB30E730C70019D4218A1244FF383503FF7579C9201AB93CA9293,71408853,2910,uosmo,85323165,3476,4.07374415225235e-05
4709247,osmo1kwwm2zln6z8lv30szcya5f9wnrdu6lamuhuq4c,/osmosis.gamm.v1beta1.MsgExitPool,604,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,1544754966,94234,uosmo,43499325,2654,6.1001967947206736e-05
4709251,osmo1kwwm2zln6z8lv30szcya5f9wnrdu6lamuhuq4c,/osmosis.gamm.v1beta1.MsgExitPool,648,ibc/8061A06D3BD4D52C4A28FFECF7150D370393AF0BA661C3776C54FF32836C3961,101250053669284954435,76516096717221600,uosmo,18826364,14228,0.0007557141348995985
4709267,osmo127rxtmsja3jses3dhq7nj2stkq53j3cw27yjlu,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,425155634,16876,uosmo,3347572770,132876,3.969312479594796e-05
4709272,osmo14am952nzggxntteuq5napl6e27kerx4hy6ezsy,/osmosis.gamm.v1beta1.MsgExitPool,560,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,1761585156,1538,uosmo,14004859,13,8.728450769058729e-07
4709283,osmo127rxtmsja3jses3dhq7nj2stkq53j3cw27yjlu,/osmosis.gamm.v1beta1.MsgExitPool,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,381839945,30738,uosmo,330428103,26599,8.049754483331343e-05
4709292,osmo1qp749jf5nf8cgs374prymzsm8pl8xjgafjkpqd,/osmosis.gamm.v1beta1.MsgExitPool,690,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,120951147,3287227,uosmo,10324337,280597,0.027178130925051745
4709297,osmo1qp749jf5nf8cgs374prymzsm8pl8xjgafjkpqd,/osmosis.gamm.v1beta1.MsgExitPool,619,ibc/EA4C0A9F72E2CEDF10D0E7A9A6A22954DB3444910DB5BE980DF59B05A46DAD1C,2938779835,35349,uosmo,54138317,652,1.2028401592713808e-05
4709297,osmo14z0djyy7v8xkteh5lash3tx9svsfzzavxvn8mv,/osmosis.gamm.v1beta1.MsgExitPool,631,ibc/297C64CC42B5A8D8F82FE2EBE208A6FE8F94B86037FA28C4529A23701C228F7A,2124079,1881,uosmo,28687737,25392,0.0008851053558120763
4709298,osmo1dfwm8kvaq330nzpml86hex6wy8qjm9cc9vfznw,/osmosis.gamm.v1beta1.MsgExitPool,498,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5817477,6,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,14321234,14,9.63364002573307e-07
4709303,osmo1dfwm8kvaq330nzpml86hex6wy8qjm9cc9vfznw,/osmosis.gamm.v1beta1.MsgExitPool,605,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,19912770439,565157,uosmo,812332,24,2.8381631957663854e-05
4709339,osmo1cwj3vqxk6p7e6ntxt8925m3l9d6l0jr554d3e7,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,27341668,1099,uosmo,215469923,8657,4.0172900934272316e-05
4709349,osmo14pakf28w2vmeemfcfhlt3xgpah24548lzdp5c8,/osmosis.gamm.v1beta1.MsgExitPool,690,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,50629964,1376028,uosmo,4321593,117453,0.027178130925051745
4709364,osmo1qp749jf5nf8cgs374prymzsm8pl8xjgafjkpqd,/osmosis.gamm.v1beta1.MsgExitPool,9,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1,637125380275,167877336,uosmo,996169869,262483,0.00026349183528759693
4709371,osmo16wu3f76vpc3dstcv8kl4d57xx45z8mmdffgt4t,/osmosis.gamm.v1beta1.MsgExitPool,560,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,610654557,534,uosmo,4853582,5,8.728450769058729e-07
4709394,osmo1xghme9epu0z4x9tr55uspcdxn0wvcgt5h8tzkw,/osmosis.gamm.v1beta1.MsgExitPool,690,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,45295991,1231978,uosmo,3865784,105144,0.027198381796131408
4709410,osmo129xvhtfhplpul2tgqy9ufm40u62667f0qxgmw2,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,216174122,8899,uosmo,1704185456,70150,4.1162915338993596e-05
4709421,osmo1xezn7jjvdrtpjafy9cwp7th4j6duaqu2utcelz,/osmosis.gamm.v1beta1.MsgExitPool,560,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,125037419,110,uosmo,993779,1,8.728450769058729e-07
4709424,osmo129xvhtfhplpul2tgqy9ufm40u62667f0qxgmw2,/osmosis.gamm.v1beta1.MsgExitPool,497,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,122407818,3878,uosmo,388339188,12302,3.167833292396472e-05
4709426,osmo10k0qxqh39fwk2khv49g0n673kfqwe778f09ffg,/osmosis.gamm.v1beta1.MsgExitPool,662,ibc/41999DF04D9441DAC0DF5D8291DF4333FBCBA810FFD63FDCE34FDF41EF37B6F7,617215163,213571,uosmo,5152,2,0.0003460220422217364
4709426,osmo1xezn7jjvdrtpjafy9cwp7th4j6duaqu2utcelz,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1081247,45,uosmo,8523556,351,4.1162915338993596e-05
4709431,osmo1yte9x7rytzch3yrgyvhnc99m5ga4rrfsx3yyc8,/osmosis.gamm.v1beta1.MsgExitPool,611,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,22738578,489,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,6325047502,135770,2.1465426932127948e-05
4709435,osmo1t5d7cje9jlg46mkeplgu3lt4fxq8u4mtyehqz4,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,438598,19,uosmo,3456392,143,4.1162915338993596e-05
4709438,osmo1jeesfvtyh35ljartj75v633srxnkql7guq0csy,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,922600,38,uosmo,7270579,300,4.1162915338993596e-05
4709442,osmo1uryp8xxqhfhf2sd40usud4kz4gx9jn4ftnsvg5,/osmosis.gamm.v1beta1.MsgExitPool,3,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4,48027545,14609,uosmo,14694024,4470,0.00030416965853952713
4709442,osmo1t5d7cje9jlg46mkeplgu3lt4fxq8u4mtyehqz4,/osmosis.gamm.v1beta1.MsgExitPool,605,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,19215359219,812960,uosmo,784360,34,4.2307778294782056e-05
4709467,osmo1uryp8xxqhfhf2sd40usud4kz4gx9jn4ftnsvg5,/osmosis.gamm.v1beta1.MsgExitPool,625,ibc/E97634A40119F1898989C2A23224ED83FDD0A57EA46B3A094E287288D1672B44,2977578100,34231,uosmo,32282282,372,1.1496125154978669e-05
4709525,osmo1qaag7emlflgyxddkf3zqhgtzyyq0d37rsvyjcz,/osmosis.gamm.v1beta1.MsgExitPool,674,ibc/0CD3A0285E1341859B5E86B6AB7682F023D03E97607CCC1DC95706411D866DF7,12462224861613994556,1321442743488621,uosmo,10822846,1148,0.00010603586102501757
