block,sender,pool_id,msg_type,original_shares,share_adjustment,new_total_shares,was_exit_clean,sender_original_amount_1,sender_original_amount_2,pool_denom_1,pool_original_amount_1,pool_adjustment_amount_1,pool_denom_2,pool_original_amount_2,pool_adjustment_amount_2
4707676,osmo1vvc7xddzjquz8cpmj8gfdudx9z5eqnn5pnq6s6,497,/osmosis.gamm.v1beta1.MsgExitPool,1402472818810860634626169,8287603000889386391,1402464531207859745239778,1,7926179,25041192,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,1341310572354,7926178,uosmo,4237618980387,25041272
4707707,osmo1n96h5da774swdtq3mxs60psfvc9vsuna7zxq7h,690,/osmosis.gamm.v1beta1.MsgExitPool,1250463364145652763933691,155216249191037625480,1250308147896461726308211,1,264246933,19947801,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,2128849538726,264247678,uosmo,160705242001,19947857
4707708,osmo10vwjpan37s9rcdrp6sy8jqfskhmw29yew5jp5m,561,/osmosis.gamm.v1beta1.MsgExitPool,1704209776807376373623845,110334648069471065096,1704099442159306902558749,1,37037032110,1891458,ibc/0EF15DF2F02480ADE0BB6E85D9EBB5DAEA2836D3860E9F97F9AADE4F57A31AA0,572217926259851,37046767582,uosmo,29207932520,1890991
4707710,osmo1hxadwapaz75v9zclps9ad0uhpckxdlwmyh5w0h,5,/osmosis.gamm.v1beta1.MsgExitPool,10733345773326847836021536929,860299850167698954991282,10732485473476680137066545647,1,25481356578,32411244,ibc/9712DBB13B9631EDFA9BF61B55F1B2D290B2ADB67E3A4EB3A875F3B6081B3B84,317912656702767,25481356578,uosmo,404371906759,32411244
4707717,osmo1hxadwapaz75v9zclps9ad0uhpckxdlwmyh5w0h,560,/osmosis.gamm.v1beta1.MsgExitPool,287260370550375508336057,1979603545232692270,287258390946830275643787,1,259572583,2074876,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,37666589505716,259572575,uosmo,301085452488,2074876
4707762,osmo1cxzatzvlssxw26q3dpav6efe3rlg6r8zcjlwee,604,/osmosis.gamm.v1beta1.MsgExitPool,348560332382012256045,2484477170085830,348557847904842170215,1,510188455,14316125,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,71578071219805,510195989,uosmo,2008514478359,14316340
4707780,osmo16a8ll0ur70j4qx3av8jeg3gc45eazqppjczr7d,678,/osmosis.gamm.v1beta1.MsgExitPool,2969274351838245889832520,66889178971187789405,2969207462659274702043115,1,337693706,300993031,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,14937452239622,336497675,uosmo,13409410669520,302075309
4707781,osmo16euxkvyt8fqcjtfnpe7rqw8730v5p2t64nsp0t,498,/osmosis.gamm.v1beta1.MsgExitPool,485043705567183855279761,12282202559488841226,485031423364624366438535,1,5380034,13340497,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,212466426924,5380042,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,526838239928,13340517
4707794,osmo1yeenwv6s757f59076auzyuj70t470lkdgxlzqj,561,/osmosis.gamm.v1beta1.MsgExitPool,1704099442159306902558749,6400952933300278238,1704093041206373602280511,1,2165716836,108869,ibc/0EF15DF2F02480ADE0BB6E85D9EBB5DAEA2836D3860E9F97F9AADE4F57A31AA0,576720272125721,2166281630,uosmo,28976611540,108842
4707796,osmo1t2e08me8mw502cgsxfrgk8hp48saqheaw3g9jq,678,/osmosis.gamm.v1beta1.MsgExitPool,2969207304757722642420565,25483673306008733799,2969181821084416633686766,1,128645638,114682393,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,14935944886305,128190018,uosmo,13410156164599,115094704
