block,code,msg_type,sender,pool_id,share_in,denom_1,amount_1,denom_2,amount_2,denom_3,amount_3,denom_4,amount_4
4712173,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,2024147598572902728456,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,54781696,uosmo,14575544565,,,,
4712182,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,3034386499378944808212,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,81967091,uosmo,21817880271,,,,
4712191,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,4548071569622676958148,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,122542267,uosmo,32618121656,,,,
4712206,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,3377744445916337984230,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,90664413,uosmo,24226443880,,,,
4712211,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,5071000360397876957506,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,135732235,uosmo,36269019752,,,,
4712223,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,3778202488696461963283,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,101153721,uosmo,26903117768,,,,
4712228,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,5671144090253696945421,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,151357355,uosmo,40255412229,,,,
4712234,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,8496734847562250011649,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,225709911,uosmo,60030419534,,,,
4712248,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,6312592960138764525330,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,167153706,uosmo,44432014812,,,,
4712252,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,9463305950359419252435,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,249280701,uosmo,66262640687,,,,
4712170,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,44572770744238134,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,1207,uosmo,321323,,,,
4712175,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,64889571287746338,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,1755,uosmo,467354,,,,
