block,sender,pool_id,msg_type,original_pool_shares_previous_height,recorded_share_out,adjustment_share_out,extra_amount_percent
4707707,osmo1lvgxhqamdq8j9a7853uap5lg9j3tafw5gvx06u,678,/osmosis.gamm.v1beta1.MsgJoinPool,2969402800902843643851830,3996219792438884247,2665231691653858304.000000,4.4823246016954785e-07
4707710,osmo10ka033a6vx803h7hd4mfe3l8ky0txwcqyunzdj,690,/osmosis.gamm.v1beta1.MsgJoinPool,1250315194438867655399079,4492045397520364792,2996271501357860864.000000,1.1963045511765958e-06
4707710,osmo1n8j9xve22sh5arf2kfdtdde46udztadalmr7c2,3,/osmosis.gamm.v1beta1.MsgJoinPool,105672458144233864184162017,74805431180092419193,49894133924277567488.000000,2.3574017997346144e-07
4707710,osmo13p4tyrzhgfwhzryg0gewfnfrrs2n4jp2k0tmp7,719,/osmosis.gamm.v1beta1.MsgJoinPool,15567945308987072440963051,866075838010048967,654340089987169280.000000,1.3600747923948951e-08
4707710,osmo1kmmqf8e4qqfq7gqfdj7qwk3sjrpt6cgzlh4zzy,712,/osmosis.gamm.v1beta1.MsgJoinPool,594396725522767907522595,1800288601441474372,1200756728600827648.000000,1.0086300857006734e-06
4707716,osmo1g692jde5e7nqpml4rmxgge22m3qvft8u88z3dz,604,/osmosis.gamm.v1beta1.MsgJoinPool,348570206992552762572,6257563500183,4173815841922.394043,5.9779852211201404e-09
4707720,osmo1n0veljq6jx2u5dxwyfsuye2hwsr0ssl9z5adpu,678,/osmosis.gamm.v1beta1.MsgJoinPool,2969407123395532804138856,125873800498450814,83950047710624512.000000,1.4118558254170712e-08
4707722,osmo1fnf8fvnyuw20jse47a53ue59pdzp8q254qfrdp,712,/osmosis.gamm.v1beta1.MsgJoinPool,594399272121270668048783,612290897262550023,408385863333449600.000000,3.4304282116799516e-07
4707728,osmo12vghx05jf5e2sxgfkdhktl3ch0e2k9ae3uxqm4,712,/osmosis.gamm.v1beta1.MsgJoinPool,594399916039747441830094,6384741607459139,4258495798615685.000000,3.577129947171167e-09
4707729,osmo17j675mzjnf5ud7ynphf9xp2ra8jzg3zylhlkte,629,/osmosis.gamm.v1beta1.MsgJoinPool,611996280539864852711,12812588952702015,8546046791280731.000000,6.971078194085308e-06
4707732,osmo10sp2ean8c8j5pnsyaccea5f6h5hpjhl24ntk4d,1,/osmosis.gamm.v1beta1.MsgJoinPool,392588418639542353956732239,15968600513332982000,10649823646238365696.000000,1.3547970253428638e-08
4707732,osmo18ugyzt4fe22yqp6jmamt0zfjm5tpul7cmxej8d,1,/osmosis.gamm.v1beta1.MsgJoinPool,392588418639542353956732239,4549714265602801812,3034308142970222080.000000,3.860037632177936e-09
4707732,osmo1gqeq49wq0eefzlxp8gctuvmc7apauhayzhdxs8,498,/osmosis.gamm.v1beta1.MsgJoinPool,485044062601513303275446,865189508092276673,577084125741796864.000000,5.939745711764756e-07
4707732,osmo13lucu9nssvvngazwqs0vcy6e4my87lqtfjrrwf,722,/osmosis.gamm.v1beta1.MsgJoinPool,1738570031052579359855678,387831577439080563657,258643242298078199808.000000,7.42574855116658e-05
4707732,osmo1r8xvgh0he0h7rjar3saucpmt303t0qy24lyj39,704,/osmosis.gamm.v1beta1.MsgJoinPool,446345611596486241529959,5629470097222038,3754543563255830.000000,4.200615877591129e-09
4707732,osmo1cyplugff6n0w7mje34ezp6m2g0cvk7hnjtxaw0,9,/osmosis.gamm.v1beta1.MsgJoinPool,1352643622707819442617089476,635624915704674208809,423893061184577536000.000000,1.5653166309092034e-07
4707733,osmo13t2nzrdtdqrgfq2hnq45rqxra3hfjqqucdg2py,9,/osmosis.gamm.v1beta1.MsgJoinPool,1352644258332735147291298285,29229889179262063255,19493174191491559424.000000,7.198281659163167e-09
4707739,osmo1ju3vys9l5d4fa6f22l9z4q9rdlfnr6mtvfrkel,601,/osmosis.gamm.v1beta1.MsgJoinPool,44199834762451023340898,97007585158254684,64705958965288688.000000,7.30803937608416e-07
4707740,osmo1va2xq5d9lj5v8aakxawgne3chn9phzwllw8h74,712,/osmosis.gamm.v1beta1.MsgJoinPool,594400386465965946570877,284656493923504771,189860225824287488.000000,1.5948194842501495e-07
4707744,osmo1mvccc0xt6g8lm5stldfzmjfdg4vhq9rd90df7f,625,/osmosis.gamm.v1beta1.MsgJoinPool,66318108558025706406837072,1089417981229704,726757465441806.000000,5.468499082006968e-12
4707744,osmo10p0nsg43rukvhngt7gghg6z3c0zecfrurk27md,690,/osmosis.gamm.v1beta1.MsgJoinPool,1250363690563673462376001,12329129829991363705,8223741542446586880.000000,3.283258102536699e-06
4707747,osmo1tpwmyh60fp84mp2udkcz4qlaju82nr7jq2240z,678,/osmosis.gamm.v1beta1.MsgJoinPool,2969408698956743414966457,115830360844642142,77251694004156480.000000,1.2992035193990694e-08
