block,sender,pool_id,msg_type,original_shares,share_adjustment,new_total_shares
4707744,osmo1mvccc0xt6g8lm5stldfzmjfdg4vhq9rd90df7f,625,/osmosis.gamm.v1beta1.MsgJoinPool,66318035755249423567970084,359111002847972,66318035754890312565122112
4707744,osmo10p0nsg43rukvhngt7gghg6z3c0zecfrurk27md,690,/osmosis.gamm.v1beta1.MsgJoinPool,1250350655619344849629469,4107007341914788985,1250346548612002934840484
4707747,osmo1tpwmyh60fp84mp2udkcz4qlaju82nr7jq2240z,678,/osmosis.gamm.v1beta1.MsgJoinPool,2969273579053645554035538,38585458733699646,2969273540468186820335892
4707747,osmo1qr0hknsknc59fe2y8dsz3hes8w4z7p5ee5whfa,712,/osmosis.gamm.v1beta1.MsgJoinPool,592522060642651236390868,221704354550040750,592521838938296686350118
4707748,osmo1cu674e4ezhs4drg6sxn3d32mv7h3r2ns9v9mvj,641,/osmosis.gamm.v1beta1.MsgJoinPool,22140292660347528041853598,22853868219960603812,22140269806479308081249786
4707748,osmo1rsntu55zwhlhcfghh2wtzsxkr67qszupwkhvct,625,/osmosis.gamm.v1beta1.MsgJoinPool,66318035754890312565122112,5248692501656019526,66318030506197810909102586
4707750,osmo15xq28alrsk6plt4dp7ag7pjvtyangmx6jtyg4c,641,/osmosis.gamm.v1beta1.MsgJoinPool,22140269806479308081249786,102473320969776068646,22140167333158338305181140
4707753,osmo1v2rz53c9vpz67svsv5k046ljnuj3ha0gzyzmsy,712,/osmosis.gamm.v1beta1.MsgJoinPool,592522859183441882223901,271867697694603355,592522587315744187620546
4707755,osmo128qj22r6f0nzaeeh62c25cyxkl2r8zaqg4tscm,678,/osmosis.gamm.v1beta1.MsgJoinPool,2969273540468186820335892,587803443878183418,2969272952664742942152474
4707757,osmo1cnaeqxgr860qsf9ksfv2nyn4cpfq9esljfk2fg,662,/osmosis.gamm.v1beta1.MsgJoinPool,10572097538926835382941,2952827257561015,10572094586099577821926
4707757,osmo13y67n032f3wsfsu4wp5mu22mtnal473j9zqpmd,1,/osmosis.gamm.v1beta1.MsgJoinPool,392587703481871825299060712,276237522073297613767,392587427244349752001446945
4707757,osmo1ea7zqnnk08y6xtfekpgslgvlv08rd05kgsykuv,604,/osmosis.gamm.v1beta1.MsgJoinPool,348560458857018196460,126475005940415,348560332382012256045
4707762,osmo1v2rz53c9vpz67svsv5k046ljnuj3ha0gzyzmsy,704,/osmosis.gamm.v1beta1.MsgJoinPool,446275871954233554040088,81952010981650789,446275790002222572389299
4707763,osmo1j6jn5pu6yuwulalhq5402almr3y42hgjag0j7r,690,/osmosis.gamm.v1beta1.MsgJoinPool,1250346548612002934840484,6894015295351511981,1250339654596707583328503
4707764,osmo1va2xq5d9lj5v8aakxawgne3chn9phzwllw8h74,577,/osmosis.gamm.v1beta1.MsgJoinPool,1912168247301376920496,643450993311700,1912167603850383608796
4707765,osmo1l325dw2vs9hq7tmpwndcuya6hvsfchccfq4208,719,/osmosis.gamm.v1beta1.MsgJoinPool,15568112387124172947031671,986139208962370839,15568111400984963984660832
4707765,osmo1vzrt2kd974tt2n67hv9n8axhuk56swtpxuf60v,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737537643044443981360533,12124609309123758852,1737525518435134857601681
4707767,osmo1hxadwapaz75v9zclps9ad0uhpckxdlwmyh5w0h,712,/osmosis.gamm.v1beta1.MsgJoinPool,592522923531557291839738,8197366885299272372,592514726164671992567366
4707771,osmo1cx7y3zdtc9ewer2ugvykra8s4cdwd5xedpk8fk,605,/osmosis.gamm.v1beta1.MsgJoinPool,834454295676163562473194216,2480167520888055180204,834451815508642674418014012
4707771,osmo1nqn5gq9q2wdwp86y9rmlradta9cdzd3w7zkquu,704,/osmosis.gamm.v1beta1.MsgJoinPool,446275790002222572389299,26451208224,446275790002196121181075
4707772,osmo1v2rz53c9vpz67svsv5k046ljnuj3ha0gzyzmsy,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737581092590633149350860,5026024683144740818,1737576066565950004610042
4707772,osmo15xq28alrsk6plt4dp7ag7pjvtyangmx6jtyg4c,669,/osmosis.gamm.v1beta1.MsgJoinPool,76768041860090398130435,1009877621111035555,76767031982469287094880
4707774,osmo1894jt6dv2sxxh3x20q9cv3mqkph422zkwy2va8,498,/osmosis.gamm.v1beta1.MsgJoinPool,485043774494304278140085,68927120422860324,485043705567183855279761
4707774,osmo147c8lg8vsezqwfagags2f7y8g3jshvrg2qaau3,1,/osmosis.gamm.v1beta1.MsgJoinPool,392587427244349752001446945,216921336695855496742,392587210323013056145950203
4707775,osmo14pywyr7x0szy5paxe8j3gc0ye3un7pjz7au3hq,1,/osmosis.gamm.v1beta1.MsgJoinPool,392587210323013056145950203,84720649269004262159,392587125602363787141688044
4707776,osmo1ct23prmshcuy0sumj2s09zw0d5x8v378ttdkp7,674,/osmosis.gamm.v1beta1.MsgJoinPool,844960152415652546188573,39258749667169661,844960113156902879018912
4707776,osmo1cx7y3zdtc9ewer2ugvykra8s4cdwd5xedpk8fk,662,/osmosis.gamm.v1beta1.MsgJoinPool,10572094586099577821926,239377878546208841,10571855208221031613085
4707777,osmo15xq28alrsk6plt4dp7ag7pjvtyangmx6jtyg4c,662,/osmosis.gamm.v1beta1.MsgJoinPool,10571855208221031613085,974629597518410,10571854233591434094675
